record_id,﻿record_id,type_of_reference,title,authors,secondary_title,abstract,date,year,doi,volume,number,start_page,end_page,issn,accession_number,keywords,tertiary_authors,secondary_authors,url,name_of_database,short_title,asreview_prior,exported_notes_1,included,asreview_ranking
510,719,JOUR,The impact of pollen quality on the sensitivity of bumblebees to pesticides,"['Barraud, A.', 'Vanderplanck, M.', 'Nadarajah, S.', 'Michez, D.']",Acta Oecologica,"With 2000 species currently recorded in Europe, bees are a highly diversified and efficient group of pollinating insects. Their decline could therefore lead to a risk for ecosystems functioning and crop yields. The drivers of this decline have been well documented in Europe and involve multiple factors such as pesticides, pathogens, poor nutrition, climate change, and their respective interactions. For pesticides, there is a lack of information concerning the impacts of exposure when the bees have access to pollen diet of different nutritional quality (e.g. variation in sterol and protein content). We performed bioassays on nine groups consisting of 10 Bombus terrestris microcolonies (i.e. queen less colonies) each in a fully crossed experiment including controls without pesticide, two different doses of neonicotinoid imidacloprid (2 and 20 Œºg/L) and three pollen diets (i.e. Salix mix, cellulose-diluted Salix mix and cellulose-diluted Salix mix enriched with soy protein). All colonies were fed ad libitum with syrup and pollen. We measured the collection of pollen and syrup, the brood mass and the pollen efficacy (ratio of brood mass/pollen) at the end of the experiment. All these variables were affected by the imidacloprid doses, especially pollen efficacy, which was two and 10 times lower than the control for the 2 and 20 Œºg/L treatments, respectively. As expected, pollen efficacy was also affected by the pollen diet. However, when exposed to imidacloprid, the three different pollen diets did not affect micro-colonies performances. Overall, we show that diet quality does not affect sensitivity to imidacloprid exposure. It seems therefore that the negative effects of imidacloprid exposure cannot be compensated for by a pollen diet of high quality. ¬© 2020",2020///,2020,10.1016/j.actao.2020.103552,105,,,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084259658&doi=10.1016%2fj.actao.2020.103552&partnerID=40&md5=a8c642efd52675587a10ca5e1a433a27,Scopus,,1,,1,1
508,631,JOUR,Impacts of neonicotinoid seed treatments on the wild bee community in agricultural field margins,"['Main, A.R.', 'Webb, E.B.', 'Goyne, K.W.', 'Abney, R.', 'Mengel, D.']",Science of the Total Environment,"Wild bees support global agroecosystems via pollination of agricultural crops and maintaining diverse plant communities. However, with an increased reliance on pesticides to enhance crop production, wild bee communities may inadvertently be affected through exposure to chemical residues. Laboratory and semi-field studies have demonstrated lethal and sublethal effects of neonicotinoids on limited genera (e.g., Apis, Bombus, Megachile), yet full field studies evaluating impacts to wild bee communities remain limited. Here, we conducted a two-year field study to assess whether neonicotinoid seed treatment and presence in environmental media (e.g., soil, flowers) influenced bee nest and diet guild abundance and richness. In 2017 and 2018, we planted 23 Missouri agricultural fields to soybeans (Glycine max) using one of three seed treatments: untreated (no insecticide), treated (imidacloprid), or previously-treated (untreated, but neonicotinoid use prior to 2017). During both years, wild bees were collected in study field margins monthly (May to September) in tandem with soil and flowers from fields and field margins that were analyzed for neonicotinoid residues. Insecticide presence in soils and flowers varied over the study with neonicotinoids infrequently detected in both years within margin flowers (0%), soybean flowers (<1%), margin soils (<8%), and field soils (~39%). Wild bee abundance and species richness were not significantly different among field treatments. In contrast, neonicotinoid presence in field soils was associated with significantly lower richness (ground- and aboveground-nesting, diet generalists) of wild bee guilds. Our findings support that soil remains an underexplored route of exposure and long-term persistence of neonicotinoids in field soils may lead to reduced diversity in regional bee communities. Future reduction or elimination of neonicotinoid seed treatment use on areas managed for wildlife may facilitate conservation goals to sustain viable, diverse wild bee populations. ¬© 2021",2021///,2021,10.1016/j.scitotenv.2021.147299,786,,,,,,"['Abundance', 'agricultural ecosystem', 'agriculture', 'Agro-ecosystems', 'agroecosystem', 'Agroecosystems', 'Amino acids', 'animal', 'Animals', 'Article', 'bee', 'Bee functional guild', 'Bee functional guilds', 'Bees', 'chemistry', 'Crops', 'Cultivation', 'Ecosystems', 'Field margins', 'Field studies', 'flower', 'Forestry', 'Glycine max', 'guild', 'insecticide', 'Insecticides', 'long term exposure', 'Megachile', 'Missouri', 'neonicotinoid', 'Neonicotinoid insecticides', 'neonicotinoid pesticide', 'Neonicotinoids', 'Nitrogen fixation', 'nonhuman', 'plant seed', 'pollination', 'Pollination', 'pollinator', 'Pollinator', 'Pollinators', 'priority journal', 'relative abundance', 'Richness', 'seed', 'Seed', 'Seed treatment', 'Seeds', 'soil', 'Soils', 'soybean', 'species richness']",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105282479&doi=10.1016%2fj.scitotenv.2021.147299&partnerID=40&md5=d30b2e15046c896f8085308414251f63,Scopus,,1,,1,2
21,246,JOUR,"Sublethal effects of imidacloprid-contaminated honey stores on colony performance, queens, and worker activities in fall and early winter colonies","['Carroll, MJ', 'Brown, NJ', 'Reitz, D']",PLOS ONE,"Neonicotinoid-contaminated sugar stores can have both near term and long term effects on honey bees due to their persistence in honey stores. Effects of imidacloprid food stores contaminants were examined in subtropical colonies that experience reduced brood rearing and foraging during overwintering. Colonies were given treatment sugar syrup containing 0 ppb (control), 20 ppb (field relevant), or 100 ppb (above field relevant) imidacloprid over six weeks to simulate contaminated fall nectar. Colonies were evaluated immediately (post-treatment) and 10 weeks (mid-winter) after treatment to compare proximal and latent effects. Post-treatment 0 ppb and 20 ppb colonies had more workers than 100 ppb colonies while 0 ppb colonies more brood than 20 ppb or 100 ppb colonies. Mid-winter 0 ppb and 20 ppb colonies had more workers than 100 ppb colonies and 0 ppb colonies more brood than 100 ppb colonies. Colonies experienced seasonal declines in stored pollen but no treatment effects. Lower 100 ppb colony performance was associated with reduced effort rather than lifespan. RFID (Radio Frequency Identification) tracking revealed that workers had similar adult lifespans across treatments; however, 100 ppb workers engaged in activities outside the colony for less time than 0 ppb workers. Imidacloprid exposure affected queen but not worker nutritional physiology. Nurses retained well-developed hypopharyngeal glands (as indicated by head protein) across treatments. Mid-winter queens from 0 ppb colonies had marginally higher ovary protein than queens from 100 ppb colonies and more ovary lipids than queens from 20 ppb colonies. However, queen nutrient stores in non-reproductive tissues (fat bodies) did not differ across treatments. Queens from different treatments were attended by comparable numbers of retinue workers and had similar gland contents of four QMP (Queen Mandibular Pheromone) components essential to queen care. High levels of imidacloprid in sugar stores can negatively affect colony performance months after initial storage.",2024/01/02/,2024,10.1371/journal.pone.0292376,19,1,,,1932-6203,WOS:001136266700125,"['animal', 'Animals', 'bee', 'Bees', 'human', 'Humans', 'imidacloprid', 'neonicotinoid', 'Neonicotinoids', 'Article', 'female', 'nonhuman', 'pollen', 'honeybee', 'physiology', 'radiofrequency identification', 'syrup', 'honey', 'organism colony', 'sublethal dose', 'lifespan', 'mite infestation', 'evaluation study', 'Female', 'overwintering', 'queen (insect)', 'season', 'Seasons', 'winter', 'carbohydrate', 'Honey', 'sampling', 'mass fragmentography', 'Brassica rapa', 'Sugars', 'falling', 'ovary tumor', 'worker']",,,,,,1,,1,3
482,1036,JOUR,Effects of clothianidin on Bombus impatiens (Hymenoptera: apidae) colony health and foraging ability,"['Franklin, MT', 'Winston, ML', 'Morandin, LA']",JOURNAL OF ECONOMIC ENTOMOLOGY,"We conducted laboratory experiments to investigate the lethal and sublethal effects of clothianidin on bumble bee, Bombus impatiens Cresson, colony health and foraging ability. Bumble bee colonies were exposed to 6 ppb clothianidin, representing the highest residue levels found in field Studies on pollen, and a higher dose of 36 ppb clothianidin in pollen. Clothianidin did not effect pollen consumption, newly emerged worker weights, amount of brood or the number of workers, males, and queens at either dose. The foraging ability of worker bees tested on an artificial array of complex flowers also did not differ among treatments. These results suggest that clothianidin residues found in seed-treated canola and possibly other crops will not adversely affect the health of humble bee colonies or the foraging ability Of workers.",2004/04//undefined,2004,10.1603/0022-0493-97.2.369,97,2,369,373,0022-0493,WOS:000221038400027,,,,,,,1,,1,4
434,33,JOUR,"Sub-lethal effects of thiamethoxam, a neonicotinoid pesticide, and propiconazole, a DMI fungicide, on colony initiation in bumblebee (Bombus terrestris) micro-colonies","['Elston, C', 'Thompson, HM', 'Walters, KFA']",APIDOLOGIE,"This study investigated whether field-realistic exposure to a neonicotinoid insecticide and a fungicide affected nest building or brood production in queenless Bombus terrestris micro-colonies in the laboratory. Bees were exposed to honey water and pollen paste containing field-realistic mean or field-maximum exposure rates of thiamethoxam (1, 10 mu g/kg) or propiconazole (23, 230 mg/kg) for 28 days. Thiamethoxam: Both doses reduced consumption of honey water solution and resulted in fewer wax cells. At 10 mu g/kg, nest building initiation was delayed, fewer eggs were laid and no larvae produced. Propiconazole: Both doses reduced consumption of honey water solution. At 23 mg/kg, fewer wax cells were produced. Thus, at realistic (mean) exposure rates of these pesticides, no adverse impacts on brood production were found. Pesticide-free alternative forage will reduce field exposure by dilution and thus the impact of maximum rates.",2013/09//undefined,2013,10.1007/s13592-013-0206-9,44,5,563,574,0044-8435,WOS:000323246700008,,,,,,,1,,1,5
303,85,JOUR,The Neonicotinoid Insecticide Thiacloprid Impacts upon Bumblebee Colony Development under Field Conditions,"['Ellis, C', 'Park, KJ', 'Whitehorn, P', 'David, A', 'Goulson, D']",ENVIRONMENTAL SCIENCE & TECHNOLOGY,"The impacts of pesticides, and in particular of neonicotinoids, on bee health remain much debated. Many studies describing negative effects have been criticized as the experimental protocol did not perfectly simulate real-life field scenarios. Here, we placed free-flying bumblebee colonies next to raspberry crops that were either untreated or treated with the neonicotinoid thiacloprid as part of normal farming practice. Colonies were exposed to the raspberry crops for a two week period before being relocated to either a flower rich or flower-poor site. Overall, exposed colonies were more likely to die prematurely, and those that survived reached a lower final weight and produced 46% fewer reproductives than colonies placed at control farms. The impact was more marked at the flower-rich site (all colonies performed poorly at the flower poor site). Analysis of nectar and pollen stores from bumblebee colonies placed at the same raspberry farms revealed thiacloprid residues of up to 771 ppb in pollen and up to 561 ppb in nectar. The image of thiacloprid as a relatively benign neonicotinoid should now be questioned.",2017/02/07/,2017,10.1021/acs.est.6b04791,51,3,1727,1732,0013-936X,WOS:000393738700083,,,,,,,1,,1,6
102,619,JOUR,Past insecticide exposure reduces bee reproduction and population growth rate,"['Stuligross, C.', 'Williams, N.M.']",Proceedings of the National Academy of Sciences of the United States of America,"Pesticides are linked to global insect declines, with impacts on biodiversity and essential ecosystem services. In addition to well-documented direct impacts of pesticides at the current stage or time, potential delayed ‚Äúcarryover‚Äù effects from past exposure at a different life stage may augment impacts on individuals and populations. We investigated the effects of current exposure and the carryover effects of past insecticide exposure on the individual vital rates and population growth of the solitary bee, Osmia lignaria. Bees in flight cages freely foraged on wildflowers, some treated with the common insecticide, imidacloprid, in a fully crossed design over 2 y, with insecticide exposure or no exposure in each year. Insecticide exposure directly to foraging adults and via carryover effects from past exposure reduced reproduction. Repeated exposure across 2 y additively impaired individual performance, leading to a nearly fourfold reduction in bee population growth. Exposure to even a single insecticide application can have persistent effects on vital rates and can reduce population growth for multiple generations. Carryover effects had profound implications for population persistence and must be considered in risk assessment, conservation, and management decisions for pollinators to mitigate the effects of insecticide exposure. ¬© 2021 National Academy of Sciences. All rights reserved.",2021///,2021,10.1073/pnas.2109909118,118,48,,,,,"['adult', 'animal', 'Animals', 'Article', 'bee', 'Bee', 'Bees', 'biodiversity', 'Biodiversity', 'Carryover effects', 'controlled study', 'Crosses, Genetic', 'drug effect', 'ecosystem', 'Ecosystem', 'environmental exposure', 'female', 'Female', 'forage', 'genetic cross', 'growth rate', 'imidacloprid', 'insecticide', 'Insecticides', 'Larva', 'Linear Models', 'neonicotinoid', 'Neonicotinoids', 'nicotinic receptor', 'Nitro Compounds', 'nitro derivative', 'nonhuman', 'Osmia lignaria', 'pesticide', 'Pesticide', 'Pesticides', 'physical performance', 'pollination', 'Pollination', 'Pollinator', 'population growth', 'Population Growth', 'probability', 'Probability', 'reduction (chemistry)', 'reproduction', 'Reproduction', 'risk assessment', 'Risk Assessment', 'statistical model']",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120332210&doi=10.1073%2fpnas.2109909118&partnerID=40&md5=1f91e2eb2bd095b736b4e13f0b813a6f,Scopus,,1,,1,7
20,500,JOUR,Effects of neonicotinoid seed treatments on wild bee populations in soybean and corn fields in eastern Ontario,"['Gaudreault, E.S.', 'Naujokaititis-Lewis, I.', 'Lapen, D.R.', 'Sargent, R.D.']",Agricultural and Forest Entomology,"Neonicotinoid-coated corn and soybean seeds are a common crop in Canada and the US. A growing body of research is demonstrating that, through various exposure routes, neonicotinoids can impact a suite of nontarget organisms including beneficial insects such as bees. However, to date, only a few studies have examined the effects of neonicotinoids in field settings. We assessed the relationship between agricultural crop soil neonicotinoid levels and wild bee abundance and diversity at 16 agricultural sites representing different soil neonicotinoid levels. We detected clothianidin at 11 sites, thiamethoxam at three sites; imidacloprid was not detected. Hedgerow and crop soils were consistent in terms of where clothianidin was detected; thiamethoxan was not detected in hedgerow soils. Based on model outcomes, fields with higher levels of soil neonicotinoids exhibited significantly lower wild bee abundance and diversity than those with low or no neonicotinoids detected. Crop soil neonicotinoid level, hedgerow floral resource abundance and crop type were consistent predictors of bee abundance across models; only neonicotinoid level and crop type were significant predictors of diversity. Our results are consistent with recent findings in the midwestern US, and underscore the potential risk of soil neonicotinoids to wild bee populations across regions and crop systems. ¬© 2022 The Royal Entomological Society.",2023///,2023,10.1111/afe.12530,25,1,53,65,,,"['agroecosystem', 'ground-nesting bees', 'neonicotinoids', 'seed coat', 'wild bee abundance', 'wild bee richness']",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135518372&doi=10.1111%2fafe.12530&partnerID=40&md5=71e0e5ec5002fe41f4a756c61a1806f0,Scopus,,1,,1,8
250,136,JOUR,Impact of pesticide use on wild bee distributions across the United States,"['Guzman, LM', 'Elle, E', 'Morandin, LA', 'Cobb, NS', 'Chesshire, PR', 'Mccabe, LM', 'Hughes, A', 'Orr, M', ""M'Gonigle, LK""]",NATURE SUSTAINABILITY,"The decline of many wild bee species has major consequences for pollination in natural and agro-ecosystems. One hypothesized cause of the declines is pesticide use; neonicotinoids and pyrethroids in particular have been shown to have pernicious effects in laboratory and field experiments, and have been linked to population declines in a few focal species. We used aggregated museum records, ecological surveys and community science data from across the contiguous United States, including 178,589 unique observations from 1,081 bee species (33% of species with records in the United States) across six families, to model species occupancy from 1995 to 2015 with linked land use data. While there are numerous causes of bee declines, we discovered that the negative effects of pesticides are widespread; the increase in neonicotinoid and pyrethroid use is a major driver of changes in occupancy across hundreds of wild bee species. In some groups, high pesticide use contributes to a 43.3% decrease in the probability that a species occurs at a site. These results suggest that mechanisms that reduce pesticide use (such as integrative pest management) can potentially facilitate pollination conservation. Bees provide important pollination ecosystem services in agricultural landscapes, but the extent to which they are affected by pesticide use on a continental scale has yet to be explored. This study evaluates the impact of pesticide use on wild bee populations across the contiguous United States.",2024/08/27/,2024,10.1038/s41893-024-01413-8,,,,,2398-9629,WOS:001298745100002,"['Neonicotinoids', 'Pesticide effects', 'Natural ecosystem', 'Pesticide use', 'Agro-ecosystems', 'Pyrethroids', 'Population decline', 'Anthropogenic', 'Ecological survey', 'In-laboratory experiments', 'Laboratory and field experiments', 'Pernicious effect']",,,,,,1,Landscape/wild bee diversity and abunddance,1,9
504,906,JOUR,Impacts of neonicotinoid use on long-term population changes in wild bees in England,"['Woodcock, B.A.', 'Isaac, N.J.B.', 'Bullock, J.M.', 'Roy, D.B.', 'Garthwaite, D.G.', 'Crowe, A.', 'Pywell, R.F.']",Nature Communications,"Wild bee declines have been ascribed in part to neonicotinoid insecticides. While short-term laboratory studies on commercially bred species (principally honeybees and bumblebees) have identified sub-lethal effects, there is no strong evidence linking these insecticides to losses of the majority of wild bee species. We relate 18 years of UK national wild bee distribution data for 62 species to amounts of neonicotinoid use in oilseed rape. Using a multi-species dynamic Bayesian occupancy analysis, we find evidence of increased population extinction rates in response to neonicotinoid seed treatment use on oilseed rape. Species foraging on oilseed rape benefit from the cover of this crop, but were on average three times more negatively affected by exposure to neonicotinoids than non-crop foragers. Our results suggest that sub-lethal effects of neonicotinoids could scale up to cause losses of bee biodiversity. Restrictions on neonicotinoid use may reduce population declines. ¬© The Author(s) 2016.",2016///,2016,10.1038/ncomms12459,7,,,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982145852&doi=10.1038%2fncomms12459&partnerID=40&md5=6be82bd71a2419be6dd72a0680f84e1a,Scopus,,1,Landscape/wild bee diversity effects,1,10
